,name,communityId,intermediateCommunityIds
0,Estonia,8,
1,Finland,8,
2,Lithuania,8,
3,Latvia,8,
4,Ireland,8,
5,Belarus,9,
6,Georgia,9,
7,Moldova,9,
8,Russia,9,
9,Azerbaijan,9,
10,Ukraine,9,
11,Belgium,16,
12,Denmark,16,
13,Sweden,16,
14,Poland,16,
15,Australia,16,
16,Iceland,16,
17,Slovakia,16,
18,Norway,16,
19,Romania,17,
20,Malta,17,
21,San Marino,17,
22,Armenia,17,
23,Portugal,17,
24,Greece,17,
25,Cyprus,17,
26,Hungary,17,
27,Israel,17,
28,France,17,
29,Italy,17,
30,Spain,17,
31,CzechRepublic,21,
32,Bosnia Herzegovina,22,
33,Switzerland,33,
34,United Kingdom,33,
35,Serbia,33,
36,Albania,33,
37,Turkey,33,
38,Slovenia,33,
39,Austria,33,
40,Macedonia,33,
41,Montenegro,33,
42,Germany,33,
43,Bulgaria,33,
44,Croatia,33,
45,Netherlands,43,
